# r    B_y(Along Chain)    B_x(Across Chains)
0    0    0
1    0.317029    0.264147
2    0.604337    0.397295
3    0.951657    0.486107
4    1.38603    0.55774
5    1.91716    0.616296
6    2.54197    0.663563
7    3.26378    0.711065
8    4.07403    0.749025
9    4.97959    0.782238
10    5.97713    0.815772
11    7.07229    0.84646
12    8.25871    0.872923
13    9.53191    0.894734
14    10.8987    0.910999
15    12.3533    0.915729
16    13.8976    nan
17    15.5304    nan
18    17.2517    nan
19    19.0619    nan
20    20.9576    nan
21    22.944    nan
22    25.0098    nan
23    27.1654    nan
24    29.4007    nan
25    31.7188    nan
26    34.1259    nan
27    36.6121    nan
28    39.1753    nan
29    41.8176    nan
30    44.5443    nan
31    47.3465    nan
32    50.2197    nan
33    53.1683    nan
34    56.1903    nan
35    59.2922    nan
36    62.4633    nan
37    65.7134    nan
38    69.0389    nan
39    72.4425    nan
40    75.9206    nan
41    79.4782    nan
42    83.1079    nan
43    86.8066    nan
44    90.5801    nan
45    94.4227    nan
46    98.3356    nan
47    102.317    nan
48    106.372    nan
49    110.496    nan
50    114.688    nan
51    118.949    nan
52    123.277    nan
53    127.679    nan
54    132.142    nan
55    136.674    nan
56    141.27    nan
57    145.933    nan
58    150.661    nan
59    155.451    nan
60    160.304    nan
61    165.22    nan
62    170.199    nan
63    175.24    nan
64    180.339    nan
65    185.502    nan
66    190.725    nan
67    196.011    nan
68    201.348    nan
69    206.75    nan
70    212.212    nan
71    217.731    nan
72    223.316    nan
73    228.955    nan
74    234.654    nan
75    240.407    nan
76    246.218    nan
77    252.082    nan
78    258.005    nan
79    263.98    nan
80    270.01    nan
81    276.095    nan
82    282.226    nan
83    288.407    nan
84    294.639    nan
85    300.916    nan
86    307.241    nan
87    313.612    nan
88    320.039    nan
89    326.507    nan
90    333.021    nan
91    339.578    nan
92    346.18    nan
93    352.82    nan
94    359.499    nan
95    366.228    nan
96    373.003    nan
97    379.816    nan
98    386.667    nan
99    393.556    nan
100    400.489    nan
101    407.456    nan
102    414.457    nan
103    421.489    nan
104    428.561    nan
105    435.672    nan
106    442.813    nan
107    449.986    nan
108    457.191    nan
109    464.432    nan
110    471.706    nan
111    479.007    nan
112    486.34    nan
113    493.699    nan
114    501.092    nan
115    508.512    nan
116    515.959    nan
117    523.435    nan
118    530.937    nan
119    538.468    nan
120    546.024    nan
121    553.606    nan
122    561.216    nan
123    568.849    nan
124    576.504    nan
125    584.184    nan
126    591.887    nan
127    599.617    nan
128    607.365    nan
129    615.134    nan
130    622.922    nan
131    630.727    nan
132    638.55    nan
133    646.392    nan
134    654.253    nan
135    662.13    nan
136    670.03    nan
137    677.949    nan
138    685.882    nan
139    693.833    nan
140    701.8    nan
141    709.782    nan
142    717.781    nan
143    725.794    nan
144    733.833    nan
145    741.887    nan
146    749.957    nan
147    758.047    nan
148    766.15    nan
149    774.27    nan
150    782.407    nan
151    790.559    nan
152    798.727    nan
153    806.909    nan
154    815.107    nan
155    823.326    nan
156    831.559    nan
157    839.809    nan
158    848.082    nan
159    856.369    nan
160    864.669    nan
161    872.982    nan
162    881.312    nan
163    889.657    nan
164    898.013    nan
165    906.385    nan
166    914.769    nan
167    923.16    nan
168    931.571    nan
169    939.997    nan
170    948.436    nan
171    956.888    nan
172    965.355    nan
173    973.824    nan
174    982.306    nan
175    990.795    nan
176    999.29    nan
177    1007.79    nan
178    1016.3    nan
179    1024.81    nan
180    1033.33    nan
181    1041.85    nan
182    1050.39    nan
183    1058.92    nan
184    1067.47    nan
185    1076.01    nan
186    1084.56    nan
187    1093.12    nan
188    1101.68    nan
189    1110.24    nan
190    1118.81    nan
191    1127.38    nan
192    1135.95    nan
193    1144.52    nan
194    1153.1    nan
195    1161.69    nan
196    1170.28    nan
197    1178.87    nan
198    1187.45    nan
199    1196.04    nan
200    1204.63    nan
201    1213.22    nan
202    1221.81    nan
203    1230.4    nan
204    1238.98    nan
205    1247.56    nan
206    1256.14    nan
207    1264.71    nan
208    1273.28    nan
209    1281.84    nan
210    1290.4    nan
211    1298.95    nan
212    1307.5    nan
213    1316.04    nan
214    1324.58    nan
215    1333.1    nan
216    1341.62    nan
217    1350.12    nan
218    1358.62    nan
219    1367.1    nan
220    1375.57    nan
221    1384.03    nan
222    1392.47    nan
223    1400.9    nan
224    1409.33    nan
225    1417.74    nan
226    1426.13    nan
227    1434.5    nan
228    1442.86    nan
229    1451.2    nan
230    1459.52    nan
231    1467.83    nan
232    1476.11    nan
233    1484.38    nan
234    1492.64    nan
235    1500.87    nan
236    1509.09    nan
237    1517.29    nan
238    1525.46    nan
239    1533.6    nan
240    1541.73    nan
241    1549.82    nan
242    1557.89    nan
243    1565.94    nan
244    1573.95    nan
245    1581.94    nan
246    1589.9    nan
247    1597.83    nan
248    1605.73    nan
249    1613.61    nan
250    1621.44    nan
251    1629.25    nan
252    1637.03    nan
253    1644.77    nan
254    1652.48    nan
255    1660.15    nan
256    1667.79    nan
257    1675.41    nan
258    1682.99    nan
259    1690.53    nan
260    1698.04    nan
261    1705.52    nan
262    1712.97    nan
263    1720.38    nan
264    1727.76    nan
265    1735.11    nan
266    1742.42    nan
267    1749.69    nan
268    1756.93    nan
269    1764.14    nan
270    1771.3    nan
271    1778.43    nan
272    1785.53    nan
273    1792.59    nan
274    1799.61    nan
275    1806.6    nan
276    1813.56    nan
277    1820.47    nan
278    1827.35    nan
279    1834.18    nan
280    1840.99    nan
281    1847.76    nan
282    1854.49    nan
283    1861.17    nan
284    1867.82    nan
285    1874.43    nan
286    1881    nan
287    1887.54    nan
288    1894.02    nan
289    1900.48    nan
290    1906.89    nan
291    1913.27    nan
292    1919.61    nan
293    1925.91    nan
294    1932.17    nan
295    1938.4    nan
296    1944.57    nan
297    1950.71    nan
298    1956.81    nan
299    1962.86    nan
300    1968.88    nan
301    1974.85    nan
302    1980.77    nan
303    1986.66    nan
304    1992.51    nan
305    1998.32    nan
306    2004.09    nan
307    2009.81    nan
308    2015.5    nan
309    2021.14    nan
310    2026.73    nan
311    2032.28    nan
312    2037.79    nan
313    2043.25    nan
314    2048.67    nan
