# k    qy    S_u(qy)
1    0.00613592    121.585
2    0.0122718    39.9037
3    0.0184078    45.3482
4    0.0245437    3.4714
5    0.0306796    0.406186
6    0.0368155    1.80158
7    0.0429515    0.00445334
8    0.0490874    0.454259
9    0.0552233    0.0674797
10    0.0613592    0.150793
11    0.0674952    0.0267992
12    0.0736311    0.0357156
13    0.079767    0.00285705
14    0.0859029    0.00795497
15    0.0920388    0.00451507
16    0.0981748    0.0138267
17    0.104311    0.00425466
18    0.110447    0.0216745
19    0.116583    0.00259876
20    0.122718    0.0129232
21    0.128854    0.00395537
22    0.13499    0.00211004
23    0.141126    0.0025524
24    0.147262    0.00403801
25    0.153398    0.00201409
26    0.159534    0.00431113
27    0.16567    0.00921974
28    0.171806    0.00229739
29    0.177942    0.00324787
30    0.184078    0.00335327
31    0.190214    0.00154908
32    0.19635    0.00169166
33    0.202485    0.0021937
34    0.208621    0.00255021
35    0.214757    0.00266768
36    0.220893    0.00133412
37    0.227029    0.00101377
38    0.233165    0.00153055
39    0.239301    0.00154719
40    0.245437    0.00171432
41    0.251573    0.000840198
42    0.257709    0.00160814
43    0.263845    0.00186469
44    0.269981    0.00129573
45    0.276117    0.00168511
46    0.282252    0.00100623
47    0.288388    0.000708642
48    0.294524    0.00134659
49    0.30066    0.00219622
50    0.306796    0.00130138
51    0.312932    0.00077749
52    0.319068    0.000906849
53    0.325204    0.000936501
54    0.33134    0.00107673
55    0.337476    0.000964399
56    0.343612    0.000848758
57    0.349748    0.00128052
58    0.355884    0.000890534
59    0.362019    0.000719627
60    0.368155    0.000708688
61    0.374291    0.000751214
62    0.380427    0.000563549
63    0.386563    0.000553879
64    0.392699    0.000644101
65    0.398835    0.000564489
66    0.404971    0.000473211
67    0.411107    0.000815665
68    0.417243    0.000639326
69    0.423379    0.000605086
70    0.429515    0.000401985
71    0.435651    0.000733249
72    0.441786    0.000460189
73    0.447922    0.000471018
74    0.454058    0.000831777
75    0.460194    0.000556961
76    0.46633    0.000570584
77    0.472466    0.000544409
78    0.478602    0.000731612
79    0.484738    0.000656
80    0.490874    0.000572143
81    0.49701    0.000516454
82    0.503146    0.000368793
83    0.509282    0.000699942
84    0.515418    0.00043389
85    0.521553    0.000605426
86    0.527689    0.000592216
87    0.533825    0.000469725
88    0.539961    0.000503174
89    0.546097    0.000306611
90    0.552233    0.000242381
91    0.558369    0.000525851
92    0.564505    0.000659212
93    0.570641    0.000374891
94    0.576777    0.000294333
95    0.582913    0.00043523
96    0.589049    0.000422301
97    0.595185    0.0003918
98    0.60132    0.0007515
99    0.607456    0.000521428
100    0.613592    0.000247353
101    0.619728    0.000454689
102    0.625864    0.000335963
103    0.632    0.000324852
104    0.638136    0.000435676
105    0.644272    0.000519993
106    0.650408    0.000524489
107    0.656544    0.0004782
108    0.66268    0.000508106
109    0.668816    0.000277006
110    0.674952    0.000259969
111    0.681087    0.000356622
112    0.687223    0.000353134
113    0.693359    0.000371759
114    0.699495    0.000315951
115    0.705631    0.000326509
116    0.711767    0.000578125
117    0.717903    0.00039185
118    0.724039    0.000405671
119    0.730175    0.000375756
120    0.736311    0.000300315
121    0.742447    0.000384352
122    0.748583    0.000300375
123    0.754719    0.000238273
124    0.760854    0.000229866
125    0.76699    0.000327314
126    0.773126    0.000197467
127    0.779262    0.000318994
128    0.785398    0.00048329
129    0.791534    0.000314345
130    0.79767    0.000346294
131    0.803806    0.000271393
132    0.809942    0.00030891
133    0.816078    0.000354813
134    0.822214    0.000194961
135    0.82835    0.000248853
136    0.834486    0.000342161
137    0.840621    0.000329648
138    0.846757    0.000318049
139    0.852893    0.00029997
140    0.859029    0.000254489
141    0.865165    0.000256158
142    0.871301    0.000262377
143    0.877437    0.000330662
144    0.883573    0.000239327
145    0.889709    0.000276785
146    0.895845    0.000289227
147    0.901981    0.000187592
148    0.908117    0.00032973
149    0.914253    0.000151815
150    0.920388    0.000211649
151    0.926524    0.000268685
