# k    qy    S_u(qy)
1    0.0245437    3.41343
2    0.0490874    1.04496
3    0.0736311    0.112116
4    0.0981748    0.298535
5    0.122718    0.0261929
6    0.147262    0.00387231
7    0.171806    0.0446195
8    0.19635    0.00627943
9    0.220893    0.00188144
10    0.245437    0.00946682
11    0.269981    0.010905
12    0.294524    0.013305
13    0.319068    0.00100636
14    0.343612    0.00153865
15    0.368155    0.00485408
16    0.392699    0.0060612
17    0.417243    0.00212392
18    0.441786    0.0049628
19    0.46633    0.00568938
20    0.490874    0.00127928
21    0.515418    0.00700078
22    0.539961    0.00384128
23    0.564505    0.00182172
24    0.589049    0.00323986
25    0.613592    0.0019393
26    0.638136    0.00346576
27    0.66268    0.00118177
28    0.687223    0.00319785
29    0.711767    0.00302653
30    0.736311    0.00140579
31    0.760854    0.00177243
32    0.785398    0.00292143
33    0.809942    0.00365092
34    0.834486    0.00147299
35    0.859029    0.00190281
36    0.883573    0.00169986
37    0.908117    0.00138171
38    0.93266    0.00348825
39    0.957204    0.00158476
40    0.981748    0.00258754
41    1.00629    0.000942318
42    1.03084    0.00170795
43    1.05538    0.00417807
44    1.07992    0.00127961
45    1.10447    0.00121028
46    1.12901    0.00268306
47    1.15355    0.00157198
48    1.1781    0.00120458
49    1.20264    0.000748509
50    1.22718    0.000829048
51    1.25173    0.000967255
52    1.27627    0.000980296
53    1.30082    0.000715148
54    1.32536    0.0013999
55    1.3499    0.00125736
56    1.37445    0.000587768
57    1.39899    0.00117153
58    1.42353    0.00109244
59    1.44808    0.000602688
60    1.47262    0.00113132
61    1.49717    0.00119561
62    1.52171    0.00106346
63    1.54625    0.000728179
64    1.5708    0.00100603
65    1.59534    0.000853462
66    1.61988    0.000979077
67    1.64443    0.000800307
68    1.66897    0.000864474
69    1.69351    0.000964301
70    1.71806    0.000701483
71    1.7426    0.00070852
72    1.76715    0.00147184
73    1.79169    0.000829354
74    1.81623    0.000988339
75    1.84078    0.00058334
76    1.86532    0.00101528
77    1.88986    0.00108741
78    1.91441    0.000884206
79    1.93895    0.00103018
80    1.9635    0.000642652
81    1.98804    0.000596982
82    2.01258    0.000791562
83    2.03713    0.00048916
84    2.06167    0.00102549
85    2.08621    0.000701635
86    2.11076    0.00081679
87    2.1353    0.000635368
88    2.15984    0.000672815
89    2.18439    0.000639618
90    2.20893    0.000687722
91    2.23348    0.000732774
92    2.25802    0.000518943
93    2.28256    0.000762413
94    2.30711    0.000731092
95    2.33165    0.000707612
96    2.35619    0.000546671
97    2.38074    0.000470871
98    2.40528    0.000563363
99    2.42983    0.000458871
100    2.45437    0.000495891
101    2.47891    0.000733618
102    2.50346    0.000636642
103    2.528    0.00028429
104    2.55254    0.000523784
105    2.57709    0.00105237
106    2.60163    0.000960794
107    2.62618    0.000674919
108    2.65072    0.000562782
109    2.67526    0.000569423
110    2.69981    0.00100537
111    2.72435    0.000377017
112    2.74889    0.000511066
113    2.77344    0.000666789
114    2.79798    0.000738439
115    2.82252    0.000433051
116    2.84707    0.000630029
117    2.87161    0.000714661
118    2.89616    0.000484854
119    2.9207    0.000613243
120    2.94524    0.000563041
121    2.96979    0.000632306
122    2.99433    0.000667297
123    3.01887    0.000603214
124    3.04342    0.000713323
125    3.06796    0.000457555
126    3.09251    0.000635876
127    3.11705    0.000845201
128    3.14159    0.000749889
