# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.369281    0.228399
2    0.716912    0.353862
3    1.099637    0.427425
4    1.590592    0.475444
5    2.165249    0.515116
6    2.837252    0.532835
7    3.577663    0.543852
8    4.401029    nan
9    5.290610    nan
10    6.234818    nan
11    7.256885    nan
12    8.325207    nan
13    9.463479    nan
14    10.673081    nan
15    11.936434    nan
16    13.254219    nan
17    14.625684    nan
18    16.058951    nan
19    17.543636    nan
20    19.074055    nan
21    20.671096    nan
22    22.302585    nan
23    23.978858    nan
24    25.710643    nan
25    27.473193    nan
26    29.273620    nan
27    31.097606    nan
28    32.964678    nan
29    34.866740    nan
30    36.789305    nan
31    38.751796    nan
32    40.719846    nan
33    42.714800    nan
34    44.721759    nan
35    46.742471    nan
36    48.794594    nan
37    50.843481    nan
38    52.881159    nan
39    54.917675    nan
40    56.942275    nan
41    58.958690    nan
42    60.966019    nan
43    62.981746    nan
44    64.990020    nan
45    66.985199    nan
46    68.976919    nan
47    70.938640    nan
48    72.900015    nan
49    74.822531    nan
50    76.714818    nan
51    78.581466    nan
52    80.407449    nan
53    82.183557    nan
54    83.932608    nan
55    85.625502    nan
56    87.312292    nan
57    88.970192    nan
58    90.605564    nan
59    92.203673    nan
60    93.781236    nan
61    95.327411    nan
62    96.857408    nan
63    98.366768    nan
64    99.837933    nan
65    101.267262    nan
66    102.656788    nan
67    103.997199    nan
68    105.303203    nan
69    106.582073    nan
70    107.838910    nan
71    109.047920    nan
72    110.241169    nan
73    111.428367    nan
74    112.608547    nan
75    113.775612    nan
76    114.922663    nan
77    116.036825    nan
78    117.154856    nan
79    118.259107    nan
80    119.361333    nan
81    120.433463    nan
82    121.477445    nan
83    122.492526    nan
84    123.490151    nan
85    124.442353    nan
86    125.360123    nan
87    126.217385    nan
88    127.027693    nan
89    127.809085    nan
90    128.574166    nan
91    129.299314    nan
92    129.993499    nan
93    130.656173    nan
94    131.287296    nan
95    131.892283    nan
96    132.465624    nan
97    133.020673    nan
98    133.554116    nan
99    134.055427    nan
100    134.555345    nan
101    135.042902    nan
102    135.520841    nan
103    135.999159    nan
104    136.446858    nan
105    136.904845    nan
106    137.334407    nan
107    137.747649    nan
108    138.144633    nan
109    138.543497    nan
110    138.891638    nan
111    139.220423    nan
112    139.533061    nan
113    139.815139    nan
114    140.079152    nan
115    140.323065    nan
116    140.541405    nan
117    140.735850    nan
118    140.908501    nan
119    141.063825    nan
120    141.207431    nan
121    141.350353    nan
122    141.476214    nan
123    141.591950    nan
124    141.695413    nan
125    141.795834    nan
126    141.874149    nan
127    141.922675    nan
