# r    B_y(Along Chain)    B_x(Across Chains)
0    0.000000    0.000000
1    0.233285    0.177770
2    0.394029    0.267543
3    0.536898    0.317911
4    0.670088    0.335844
5    0.814006    0.343350
6    0.972650    0.356360
7    1.165431    0.361184
8    1.390606    nan
9    1.627506    nan
10    1.866017    nan
11    2.095360    nan
12    2.342007    nan
13    2.594870    nan
14    2.867409    nan
15    3.127096    nan
16    3.398490    nan
17    3.649843    nan
18    3.927365    nan
19    4.197354    nan
20    4.487451    nan
21    4.754978    nan
22    5.021634    nan
23    5.298939    nan
24    5.587956    nan
25    5.891340    nan
26    6.202885    nan
27    6.519147    nan
28    6.810470    nan
29    7.091002    nan
30    7.366891    nan
31    7.655393    nan
32    7.965161    nan
33    8.282221    nan
34    8.571212    nan
35    8.850925    nan
36    9.132060    nan
37    9.426296    nan
38    9.739707    nan
39    10.051398    nan
40    10.338514    nan
41    10.589270    nan
42    10.824765    nan
43    11.061404    nan
44    11.320547    nan
45    11.581673    nan
46    11.826648    nan
47    12.036844    nan
48    12.235208    nan
49    12.466076    nan
50    12.710072    nan
51    12.937777    nan
52    13.153732    nan
53    13.338575    nan
54    13.509233    nan
55    13.682655    nan
56    13.845166    nan
57    14.017219    nan
58    14.131814    nan
59    14.244477    nan
60    14.342418    nan
61    14.420604    nan
62    14.489888    nan
63    14.530526    nan
