# k    qy    S_u(qy)
1    0.0490874    0.447949
2    0.0981748    0.0473434
3    0.147262    0.0755242
4    0.19635    0.0103842
5    0.245437    0.00187389
6    0.294524    0.00195505
7    0.343612    0.0046216
8    0.392699    0.00378124
9    0.441786    0.00268563
10    0.490874    0.0016716
11    0.539961    0.00132413
12    0.589049    0.00230692
13    0.638136    0.00134642
14    0.687223    0.000698513
15    0.736311    0.0010695
16    0.785398    0.000878109
17    0.834486    0.00118939
18    0.883573    0.000712657
19    0.93266    0.00118189
20    0.981748    0.000686542
21    1.03084    0.000873681
22    1.07992    0.00122185
23    1.12901    0.000706898
24    1.1781    0.000465574
25    1.22718    0.000809482
26    1.27627    0.000528603
27    1.32536    0.00099865
28    1.37445    0.000780614
29    1.42353    0.000378742
30    1.47262    0.000784685
31    1.52171    0.000647448
32    1.5708    0.000471869
33    1.61988    0.000439549
34    1.66897    0.000438668
35    1.71806    0.000199916
36    1.76715    0.000561825
37    1.81623    0.000544713
38    1.86532    0.000448135
39    1.91441    0.00029093
40    1.9635    0.000601161
41    2.01258    0.000468161
42    2.06167    0.000616154
43    2.11076    0.000313428
44    2.15984    0.000595958
45    2.20893    0.000298947
46    2.25802    0.000378473
47    2.30711    0.000390528
48    2.35619    0.000695751
49    2.40528    0.000259009
50    2.45437    0.000524747
51    2.50346    0.000313079
52    2.55254    0.000254373
53    2.60163    0.00023252
54    2.65072    0.000389174
55    2.69981    0.00036658
56    2.74889    0.000312367
57    2.79798    0.000378077
58    2.84707    0.000393946
59    2.89616    0.000197046
60    2.94524    0.000398775
61    2.99433    0.000270317
62    3.04342    0.00027741
63    3.09251    0.000431815
64    3.14159    0.000404048
